rep,model,seed,param,mean,sd,q025,q975,p_gt0,rhat,ess,divergences
1,weak,1007,b1,0.45662680097575004,0.1358792989798305,0.200010019,0.7373023737500002,0.99975,1.00058,4083.05,0
1,weak,1007,b2,0.563745713518,0.14169047576600843,0.28781665175,0.8446056282500001,1.0,0.999634,4400.68,0
1,weak,1007,g1,0.054541341427284507,0.15914045538776167,-0.25352590675,0.36438712575000004,0.63925,1.00238,3479.6,0
1,weak,1007,gamma_M,0.14153404626854427,0.22611913160976904,-0.31570697124999997,0.5875333655,0.7345,1.00074,5645.26,0
1,weak,1007,gamma_Y,-0.059715465247888753,0.2401847519619075,-0.53714756075,0.42979108550000006,0.3985,1.00001,5411.66,0
1,weak,1007,indirect_effect,0.25579839002300003,0.09764436967715913,0.09470436,0.4675036952500001,0.99975,1.00044,4443.16,0
1,weak,1007,total_effect,0.310339731486775,0.1526886778857058,0.020792321100000004,0.6129101335,0.982,1.00059,4324.34,0
1,weak,1007,prop_mediated,1.1701612341147503,5.882546263123803,0.20053933175000002,4.13978229,0.98175,1.00323,3507.07,0
1,strong,1007,b1,0.4147346429035,0.10671856383640656,0.20423682375,0.62381521875,1.0,1.0013,3370.76,0
1,strong,1007,b2,0.51006627813,0.10950165168820786,0.2932297735,0.7214590467499999,1.0,0.999971,2875.56,0
1,strong,1007,g1,0.11850482145115,0.1161733209659512,-0.10798485625,0.34992627350000005,0.8515,1.00264,2927.27,0
1,strong,1007,gamma_M,0.1708700799119545,0.1569520194380283,-0.1378554835,0.47818047625,0.86175,1.002,3697.48,0
1,strong,1007,gamma_Y,0.04008993584221281,0.1544792063396578,-0.26132004775,0.349195311,0.5955,1.00062,3036.05,0
1,strong,1007,indirect_effect,0.210893967686,0.06983288897008658,0.085235404125,0.36142361100000003,1.0,1.00037,3424.3,0
1,strong,1007,total_effect,0.32939878902521497,0.1231214237885405,0.088649608325,0.5745101492500001,0.997,1.00148,3518.37,0
1,strong,1007,prop_mediated,0.58293367381,8.80026148448185,0.281745118,1.8192191300000002,0.997,1.00227,3091.19,0
2,weak,1014,b1,0.44457612045395,0.14981291901728558,0.15882063899999999,0.74912705425,1.0,1.0001,3432.96,0
2,weak,1014,b2,0.439439912132975,0.12548561055880017,0.19415742675,0.6830114807500001,0.9995,1.00039,3967.05,0
2,weak,1014,g1,0.2498654517866,0.1648032647245304,-0.05906727699999999,0.57965789275,0.93975,0.999981,3012.15,0
2,weak,1014,gamma_M,0.47880560335490996,0.24099332094745196,0.008060952847500013,0.9424133342500001,0.9775,1.00089,5659.95,0
2,weak,1014,gamma_Y,0.12076606759611275,0.2573806256667648,-0.39142431575,0.6218174590000001,0.681,1.00017,4809.92,0
2,weak,1014,indirect_effect,0.193421076179175,0.0834306548396341,0.055112390125,0.37714151050000005,0.9995,1.00243,4042.33,0
2,weak,1014,total_effect,0.44328652801775004,0.16394198511629118,0.13995308550000002,0.7635630722500002,0.99725,0.999692,2953.43,0
2,weak,1014,prop_mediated,0.5102477870269,1.2149669347058183,0.126578577,1.3022772075000004,0.99675,0.999983,3654.07,0
