scenario,N,rep,true_b1,true_b2,true_ind,cs_b1,cs_b1_cov,cs_b2,cs_b2_cov,lv_b1,lv_b1_cov,lv_b2,lv_b2_cov,lap_b1,lap_b1_cov,lap_b2,lap_b2_cov,lap_ind,lap_ind_sig
small,50,45,0.3,0.3,0.09,0.29047508331395816,1,0.3703052980633985,1,0.2643021312328278,1,0.42993704910419484,1,,,,,,
small,50,46,0.3,0.3,0.09,0.2859307308570102,1,0.1608603682016365,1,0.3622064554978687,1,0.10736806511398134,1,,,,,,
small,50,47,0.3,0.3,0.09,0.21158582289323835,1,0.06614126907492848,1,0.20001428411297484,1,0.09971827543541292,1,,,,,,
small,50,48,0.3,0.3,0.09,0.20996672375331724,1,0.34748681653875396,1,0.15769615289637437,1,0.5888756200024912,1,,,,,,
small,50,49,0.3,0.3,0.09,0.6183287105121095,0,0.3163287686915202,1,0.7006719386377925,0,0.287324326964029,1,,,,,,
small,86,0,0.3,0.3,0.09,0.28241153230045235,1,0.48047713409633924,1,0.17046125328424383,1,0.47603555068000575,1,,,,,,
small,86,1,0.3,0.3,0.09,0.249342919898646,1,0.19381444556735433,1,0.3439179217622395,1,0.28421838771600155,1,,,,,,
small,86,2,0.3,0.3,0.09,0.18638518261962328,1,0.04544895108755255,0,0.3505382177808486,1,0.11761461979010158,1,,,,,,
small,86,3,0.3,0.3,0.09,0.16772660835460076,1,0.3244915647739483,1,0.25090293636873406,1,0.317681950224307,1,,,,,,
small,86,4,0.3,0.3,0.09,0.30378071216294306,1,0.22422496013960141,1,0.356620805203348,1,0.3200862958747362,1,,,,,,
small,86,5,0.3,0.3,0.09,0.34095689617244634,1,0.22825612334528242,1,0.25562141857977383,1,0.27034117839217264,1,,,,,,
small,86,6,0.3,0.3,0.09,0.3626399166703227,1,0.37830917857735336,1,0.32426073806159106,1,0.3754446156330811,1,,,,,,
small,86,7,0.3,0.3,0.09,0.1078833716508035,1,0.3932423370495542,1,0.08258757119973212,0,0.37766286017848677,1,,,,,,
small,86,8,0.3,0.3,0.09,0.3348405163581732,1,0.14732546407879266,1,0.2883264210655755,1,0.2729253217535173,1,,,,,,
small,86,9,0.3,0.3,0.09,0.2896543587208121,1,0.1689752302351421,1,0.3345739989548474,1,0.29105986676146955,1,,,,,,
small,86,10,0.3,0.3,0.09,0.13370373406442052,1,0.3442283393690486,1,0.08423566727414951,0,0.3622478522930896,1,,,,,,
small,86,11,0.3,0.3,0.09,0.2513173301555048,1,0.2017435329346126,1,0.31328228263586866,1,0.2057286592099645,1,,,,,,
small,86,12,0.3,0.3,0.09,0.3201549191625234,1,0.25545588678795084,1,0.257648793416004,1,0.3087877540209081,1,,,,,,
small,86,13,0.3,0.3,0.09,0.2608132805010116,1,0.045956622484456165,0,0.4285815426207007,1,0.16119043832597746,1,,,,,,
small,86,14,0.3,0.3,0.09,0.35366385270799916,1,0.2593170678865858,1,0.37738855726718756,1,0.3127635846586357,1,,,,,,
small,86,15,0.3,0.3,0.09,0.17955906403981023,1,0.14958789152505952,1,0.28852050532624196,1,0.30256330568308526,1,,,,,,
small,86,16,0.3,0.3,0.09,0.3204103877603147,1,0.02736692040975282,0,0.4046354449153082,1,0.05294679560579987,0,,,,,,
small,86,17,0.3,0.3,0.09,0.15603056735527485,1,0.19400406235445702,1,0.22775892777367873,1,0.30306076233247364,1,,,,,,
small,86,18,0.3,0.3,0.09,0.288469244862665,1,0.26883107971672127,1,0.3219637033829378,1,0.2656266532306412,1,,,,,,
small,86,19,0.3,0.3,0.09,0.24631063173783985,1,0.22955833457082586,1,0.23357545271661462,1,0.26497111885725105,1,,,,,,
small,86,20,0.3,0.3,0.09,0.004504094828519739,0,0.25688192106100316,1,0.24280334184346286,1,0.24092434437714597,1,,,,,,
